film
Parasite
Casablanca
On The Waterfront
All About Eve
Moonlight
Schindler'S List
It Happened One Night
Rebecca
All Quiet On The Western Front
Sunrise
Spotlight
The Godfather
Annie Hall
The Best Years Of Our Lives
The French Connection
All The King'S Men
The Lost Weekend
Argo
The Godfather, Part Ii
The Hurt Locker
The Bridge On The River Kwai
Unforgiven
Marty
Mutiny On The Bounty
Hamlet
12 Years A Slave
The Artist
The Silence Of The Lambs
An American In Paris
In The Heat Of The Night
Everything Everywhere All At Once
The King'S Speech
Coda
The Lord Of The Rings: The Return Of The King
You Can'T Take It With You
Wings
My Fair Lady
Oppenheimer
Nomadland
Anora
No Country For Old Men
One Flew Over The Cuckoo'S Nest
The Sting
The Apartment
Lawrence Of Arabia
How Green Was My Valley
Mrs. Miniver
Rocky
The Shape Of Water
Shakespeare In Love
West Side Story
The Life Of Emile Zola
Patton
Birdman Or (The Unexpected Virtue Of Ignorance)
Slumdog Millionaire
The Departed
Oliver!
Million Dollar Baby
Gone With The Wind
Amadeus
Kramer Vs. Kramer
Platoon
Midnight Cowboy
Gandhi
Ordinary People
A Man For All Seasons
Gigi
Titanic
Rain Man
From Here To Eternity
Chicago
American Beauty
Dances With Wolves
Grand Hotel
Ben-Hur
The Deer Hunter
The Last Emperor
The English Patient
Driving Miss Daisy
Chariots Of Fire
The Sound Of Music
Tom Jones
Gentleman'S Agreement
Terms Of Endearment
Gladiator
Green Book
Braveheart
Forrest Gump
A Beautiful Mind
Crash
Going My Way
The Great Ziegfeld
Around The World In 80 Days
Cavalcade
Out Of Africa
Cimarron
The Greatest Show On Earth
The Broadway Melody
